Tweets,cleanedTweets,Translated,Subjectivity,Polarity,Analysis
"Mulai 20 Desember 2022 pukul 24.00 WIB, siaran analog di 10 wilayah Jawa Timur-1 TV akan dimatikan. Selanjutnya, ma… https://t.co/QxkCHeYFMl","mulai 20 desember 2022 pukul 24.00 wib, siaran analog di 10 wilayah jawa timur-1 tv akan dimatikan. selanjutnya, ma… ","Starting December 2022 at 24.00 WIB, analog broadcasts in the 10 regions of East Java-1 TV will be turned off. Next, ma ...",0.05,0.0,0
@hyang_wisnu @kemkominfo @jokowi @PlateJohnny @DS_yantie @Akhmad67523072 @Lamontogen @rasa2086 @Simbok_Dharmi… https://t.co/TrdXfHA4AT,        … ,…,0.0,0.0,0
Lembaga penyiaran bersepakat melaksanakan penghentian siaran analog ke siaran tv digital pada tanggal 20 Desember 2… https://t.co/N3uOjPWtXz,lembaga penyiaran bersepakat melaksanakan penghentian siaran analog ke siaran tv digital pada tanggal 20 desember 2… ,Broadcasting Institution agreed to carry out analog broadcasting to Digital TV broadcasts on December 20 2 ...,0.0,0.0,0
"RT @hyang_wisnu: HARI INI TV ANALOG DIMATIKAN DI 10 WILAYAH JAWA TIMUR

Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV analog…","hari ini tv analog dimatikan di 10 wilayah jawa timur  per tanggal 20 desember 2022 pada pukul 24.00 wib, siaran tv analog…","Today analog TV is turned off in 10 regions of East Java as of December 20, 2022 at 24.00 WIB, analog TV broadcasts ...",0.0,0.0,0
"Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV analog di 10 wilayah Jawa Timur-1 akan dimatikan. Sela… https://t.co/OdM7B4vBwO","per tanggal 20 desember 2022 pada pukul 24.00 wib, siaran tv analog di 10 wilayah jawa timur-1 akan dimatikan. sela… ","As of December 20, 2022 at 24.00 WIB, analog TV broadcasts in 10 regions of East Java-1 will be turned off. interrupt…",0.0,0.0,0
@hyang_wisnu @kemkominfo @jokowi @PlateJohnny @DS_yantie @Akhmad67523072 @Lamontogen @rasa2086 @Simbok_Dharmi… https://t.co/XxDFXAqYpC,        … ,…,0.0,0.0,0
Lembaga penyiaran bersepakat melaksanakan penghentian siaran analog ke siaran tv digital pada tanggal 20 Desember 2… https://t.co/mtHzcTVvwf,lembaga penyiaran bersepakat melaksanakan penghentian siaran analog ke siaran tv digital pada tanggal 20 desember 2… ,Broadcasting Institution agreed to carry out analog broadcasting to Digital TV broadcasts on December 20 2 ...,0.0,0.0,0
"Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV analog di 10 wilayah Jawa Timur-1 akan dimatikan. Sela… https://t.co/unI2Y64hwa","per tanggal 20 desember 2022 pada pukul 24.00 wib, siaran tv analog di 10 wilayah jawa timur-1 akan dimatikan. sela… ","As of December 20, 2022 at 24.00 WIB, analog TV broadcasts in 10 regions of East Java-1 will be turned off. interrupt…",0.0,0.0,0
"Tv analog dimatikan, tv sinyal digital tidak merata... Adayg cm dapet 3 channel.. 

Perbaiki dl sinyal siaran digit… https://t.co/1Z7JSz3MIv","tv analog dimatikan, tv sinyal digital tidak merata... adayg cm dapet 3 channel..   perbaiki dl sinyal siaran digit… ","Analog TV is turned off, digital signal TV is uneven ... I get 3 channels ... fix it in a digit broadcast signal ...",0.1,-0.1,-1
"Mulai 20 Desember 2022 pukul 24.00 WIB, siaran analog di 10 wilayah Jawa Timur-1 TV akan dimatikan. Selanjutnya, ma… https://t.co/Y3BK543tBj","mulai 20 desember 2022 pukul 24.00 wib, siaran analog di 10 wilayah jawa timur-1 tv akan dimatikan. selanjutnya, ma… ","Starting December 2022 at 24.00 WIB, analog broadcasts in the 10 regions of East Java-1 TV will be turned off. Next, ma ...",0.05,0.0,0
Beli Nijoo&amp;Digital Set Top Box TV Digital Receiver Penerima Siaran Full HD/ di Virgo ♍ shop seharga Rp450.000 disko… https://t.co/gQGde6J66q,beli nijoo&amp;digital set top box tv digital receiver penerima siaran full hd/ di virgo ♍ shop seharga rp450.000 disko… ,"Buy Nijoo & Amp; Digital Set Top Box Digital TV Receiver Full HD broadcasting/ in Virgo ♍ Shop for Rp450,000 Disco ...",0.2625,0.2125,1
"Adapun, untuk bisa menonton TV Digital seiring adanya kebijakan ASO ini, diperlukan perangkat penerima siaran berst… https://t.co/Na3ypMFWox","adapun, untuk bisa menonton tv digital seiring adanya kebijakan aso ini, diperlukan perangkat penerima siaran berst… ","Meanwhile, to be able to watch digital TV along with this ASO policy, it is necessary to have a broadcast receiver ...",0.5416666666666666,0.16666666666666666,1
"Suntik Mati TV Analog Jatim Hari Ini, Begini Cara Cek Sinyal TV Digital

Pemadaman siaran TV Analog atau ASO di Jaw… https://t.co/vUXRO4PDqV","suntik mati tv analog jatim hari ini, begini cara cek sinyal tv digital  pemadaman siaran tv analog atau aso di jaw… ","Injection of Tv Analog East Java today, here's how to check the digital tv signal extinguishing analog or aso tv in jaw ...",0.0,0.0,0
"Hari Ini TV Analog Dimatikan di 10 Wilayah Jawa Timur

Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV… https://t.co/IkjzVYWeof","hari ini tv analog dimatikan di 10 wilayah jawa timur  per tanggal 20 desember 2022 pada pukul 24.00 wib, siaran tv… ","Today analog TV is turned off in 10 regions of East Java as of December 20, 2022 at 24.00 WIB, TV broadcasts ...",0.0,0.0,0
"HARI INI TV ANALOG DIMATIKAN DI 10 WILAYAH JAWA TIMUR

Per tanggal 20 Desember 2022 pada pukul 24.00 WIB, siaran TV… https://t.co/Vu8nnQMFH7","hari ini tv analog dimatikan di 10 wilayah jawa timur  per tanggal 20 desember 2022 pada pukul 24.00 wib, siaran tv… ","Today analog TV is turned off in 10 regions of East Java as of December 20, 2022 at 24.00 WIB, TV broadcasts ...",0.0,0.0,0
Gubernur Jawa Timur Khofifah Indar Parawansa memastikan bahwa pelaksanaan Analog Switch Off (ASO) atau penghentian… https://t.co/764AC2nwI7,gubernur jawa timur khofifah indar parawansa memastikan bahwa pelaksanaan analog switch off (aso) atau penghentian… ,East Java Governor Khofifah Indar Parawansa ensured that the analog switch off (ASO) was implemented ...,0.0,0.0,0
Setiap hujan siaran tv digital tidak ada sinyal 😅😀😀😀,setiap hujan siaran tv digital tidak ada sinyal 😅😀😀😀,Every rain of digital TV broadcasts has no signal 😅😀ored,0.0,0.0,0
"Mulai 20 Desember 2022, siaran TV analog di wilayah Surabaya akan dihentikan dan dialihkan ke siaran TV digital. Si… https://t.co/c0LY9zbVby","mulai 20 desember 2022, siaran tv analog di wilayah surabaya akan dihentikan dan dialihkan ke siaran tv digital. si… ","Starting December 2022, analog TV broadcasts in the Surabaya region will be stopped and diverted to digital TV broadcasts. Si ...",0.05,0.0,0
"RT @patualanggaAsse: Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim.

#KetuaDPDRI
#LaNyal…",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim.  ketuadpdri lanyal…,The Chairman of the DPD RI accepted the aspirations of the limitations of the digital TV broadcast monitoring device from East Java KPID. ketuadpdri lanyal ...,0.0,0.0,0
"RT @relawanlanyalla: Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim

https://t.co/NFrmA3w…",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim  ,Chairman of the DPD RI Accept the aspirations of the limitations of the Digital TV broadcast monitoring device from KPID East Java,0.0,0.0,0
"RT @lanyallacenter_: Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim
#LaNyalla #jawatimur…",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim lanyalla jawatimur…,The Chairman of the DPD RI accepted the aspirations of the limitations of the Digital TV broadcast monitoring device from KPID East Java Lanyalla Jawatimur ...,0.0,0.0,0
"Ketua DPD RI Terima Aspirasi Keterbatasan Perangkat Monitoring Siaran TV Digital dari KPID Jatim
#LaNyalla https://t.co/l0zWa9Dc72",ketua dpd ri terima aspirasi keterbatasan perangkat monitoring siaran tv digital dari kpid jatim lanyalla ,Chairman of the DPD RI Accept the aspirations of the limitations of the Digital TV broadcast monitoring device from KPID East Java Lanyalla,0.0,0.0,0
@diskominfowng mohon info pak/ibu utk di selogiri siaran TV Digital apakah sudah terjangkau ?, mohon info pak/ibu utk di selogiri siaran tv digital apakah sudah terjangkau ?,Please info sir/mother for selogiri Digital TV broadcasts are it affordable?,0.0,0.0,0
