Tweets,Text_tokens,Text_tokens_fdist,Text_tokens_WSW,Text_tokens_stemmed
nip iya ini di buku tata bahasa baku bahasa indonesia edisi iv,"['nip', 'iya', 'ini', 'di', 'buku', 'tata', 'bahasa', 'baku', 'bahasa', 'indonesia', 'edisi', 'iv']",<FreqDist with 11 samples and 12 outcomes>,"['nip', 'iya', 'buku', 'tata', 'bahasa', 'baku', 'bahasa', 'indonesia', 'edisi', 'iv']","['nip', 'iya', 'buku', 'tata', 'bahasa', 'baku', 'bahasa', 'indonesia', 'edisi', 'iv']"
chan tanda garis miring ditulis tanpa spasi sebelum dan sesudahnya,"['chan', 'tanda', 'garis', 'miring', 'ditulis', 'tanpa', 'spasi', 'sebelum', 'dan', 'sesudahnya']",<FreqDist with 10 samples and 10 outcomes>,"['chan', 'tanda', 'garis', 'miring', 'ditulis', 'spasi']","['chan', 'tanda', 'garis', 'miring', 'tulis', 'spasi']"
dengan senang hati kadang kita perlu memutuskan untuk tidak meneruskan perdebatan ketika melihat ketida,"['dengan', 'senang', 'hati', 'kadang', 'kita', 'perlu', 'memutuskan', 'untuk', 'tidak', 'meneruskan', 'perdebatan', 'ketika', 'melihat', 'ketida']",<FreqDist with 14 samples and 14 outcomes>,"['senang', 'hati', 'kadang', 'memutuskan', 'meneruskan', 'perdebatan', 'ketida']","['senang', 'hati', 'kadang', 'putus', 'terus', 'debat', 'ketida']"
nip mungkin dalam karya melayu klasik kata itu ditemukan sih,"['nip', 'mungkin', 'dalam', 'karya', 'melayu', 'klasik', 'kata', 'itu', 'ditemukan', 'sih']",<FreqDist with 10 samples and 10 outcomes>,"['nip', 'karya', 'melayu', 'klasik', 'ditemukan']","['nip', 'karya', 'melayu', 'klasik', 'temu']"
jafar mungkin karena belum kawin memberikan harapan yang tidak sanggup ditanggung pemerintah,"['jafar', 'mungkin', 'karena', 'belum', 'kawin', 'memberikan', 'harapan', 'yang', 'tidak', 'sanggup', 'ditanggung', 'pemerintah']",<FreqDist with 12 samples and 12 outcomes>,"['jafar', 'kawin', 'harapan', 'sanggup', 'ditanggung', 'pemerintah']","['jafar', 'kawin', 'harap', 'sanggup', 'tanggung', 'perintah']"
artikel ini mungkin dapat dipakai sebagai rujukan,"['artikel', 'ini', 'mungkin', 'dapat', 'dipakai', 'sebagai', 'rujukan']",<FreqDist with 7 samples and 7 outcomes>,"['artikel', 'dipakai', 'rujukan']","['artikel', 'pakai', 'rujuk']"
ck tidak,"['ck', 'tidak']",<FreqDist with 2 samples and 2 outcomes>,['ck'],['ck']
mungkin ini dapat dipakai sebagai rujukan,"['mungkin', 'ini', 'dapat', 'dipakai', 'sebagai', 'rujukan']",<FreqDist with 6 samples and 6 outcomes>,"['dipakai', 'rujukan']","['pakai', 'rujuk']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
tentu bukan,"['tentu', 'bukan']",<FreqDist with 2 samples and 2 outcomes>,[],[]
 selamat menulis tesis,"['selamat', 'menulis', 'tesis']",<FreqDist with 3 samples and 3 outcomes>,"['selamat', 'menulis', 'tesis']","['selamat', 'tulis', 'tesis']"
sampai ketemu,"['sampai', 'ketemu']",<FreqDist with 2 samples and 2 outcomes>,['ketemu'],['ketemu']
orangorang yang ada di sana penutur bahasa indonesia kalau ya tidak salah,"['orangorang', 'yang', 'ada', 'di', 'sana', 'penutur', 'bahasa', 'indonesia', 'kalau', 'ya', 'tidak', 'salah']",<FreqDist with 12 samples and 12 outcomes>,"['orangorang', 'penutur', 'bahasa', 'indonesia', 'salah']","['orangorang', 'tutur', 'bahasa', 'indonesia', 'salah']"
iya moniker dari bahasa inggris,"['iya', 'moniker', 'dari', 'bahasa', 'inggris']",<FreqDist with 5 samples and 5 outcomes>,"['iya', 'moniker', 'bahasa', 'inggris']","['iya', 'moniker', 'bahasa', 'inggris']"
kita menyerap kata itu dari bahasa arab,"['kita', 'menyerap', 'kata', 'itu', 'dari', 'bahasa', 'arab']",<FreqDist with 7 samples and 7 outcomes>,"['menyerap', 'bahasa', 'arab']","['serap', 'bahasa', 'arab']"
tidak ada kata terlambat,"['tidak', 'ada', 'kata', 'terlambat']",<FreqDist with 4 samples and 4 outcomes>,['terlambat'],['lambat']
jika dianalogikan dengan dunia timur kita pakai filsafat timur,"['jika', 'dianalogikan', 'dengan', 'dunia', 'timur', 'kita', 'pakai', 'filsafat', 'timur']",<FreqDist with 8 samples and 9 outcomes>,"['dianalogikan', 'dunia', 'timur', 'pakai', 'filsafat', 'timur']","['analogi', 'dunia', 'timur', 'pakai', 'filsafat', 'timur']"
,[],<FreqDist with 0 samples and 0 outcomes>,[],[]
saya condong memilih karena itu nama,"['saya', 'condong', 'memilih', 'karena', 'itu', 'nama']",<FreqDist with 6 samples and 6 outcomes>,"['condong', 'memilih', 'nama']","['condong', 'pilih', 'nama']"
mirna kr tampaknya belum ada konsep budaya pada sebuah bahasa kadang tidak punya padanan dalam bahasa lain,"['mirna', 'kr', 'tampaknya', 'belum', 'ada', 'konsep', 'budaya', 'pada', 'sebuah', 'bahasa', 'kadang', 'tidak', 'punya', 'padanan', 'dalam', 'bahasa', 'lain']",<FreqDist with 16 samples and 17 outcomes>,"['mirna', 'kr', 'konsep', 'budaya', 'bahasa', 'kadang', 'padanan', 'bahasa']","['mirna', 'kr', 'konsep', 'budaya', 'bahasa', 'kadang', 'padan', 'bahasa']"
na perkembangan zaman lebih lazim ya,"['na', 'perkembangan', 'zaman', 'lebih', 'lazim', 'ya']",<FreqDist with 6 samples and 6 outcomes>,"['na', 'perkembangan', 'zaman', 'lazim']","['na', 'kembang', 'zaman', 'lazim']"
bosan membuat surat resmi terus tiap hari coba belajar bikin surat cinta deh eh ini nanti malam lo cepat ,"['bosan', 'membuat', 'surat', 'resmi', 'terus', 'tiap', 'hari', 'coba', 'belajar', 'bikin', 'surat', 'cinta', 'deh', 'eh', 'ini', 'nanti', 'malam', 'lo', 'cepat']",<FreqDist with 18 samples and 19 outcomes>,"['bosan', 'surat', 'resmi', 'coba', 'belajar', 'surat', 'cinta', 'deh', 'eh', 'malam', 'lo', 'cepat']","['bosan', 'surat', 'resmi', 'coba', 'ajar', 'surat', 'cinta', 'deh', 'eh', 'malam', 'lo', 'cepat']"
